Date,N_p,N_n,N_total,Actual_Return,Signal,Direction,Signal_Direction
2011-09-29,0.0,0.0,1.0,-0.0043426532642359,0.0,0,동률
2011-09-30,0.0,0.0,1.0,-0.0263468078994267,0.0,0,동률
2011-10-11,0.0,0.0,1.0,0.006617166518831,0.0,1,동률
2011-10-14,1.0,0.0,1.0,0.0181701323540277,1.0,1,"긍정 우세
(N_p > N_n)"
2011-10-21,0.0,0.0,1.0,0.0149463338227506,0.0,1,동률
2011-10-24,1.0,0.0,1.0,0.0234998754053952,1.0,1,"긍정 우세
(N_p > N_n)"
2011-10-25,1.0,0.0,1.0,-0.0226046961057641,1.0,0,"긍정 우세
(N_p > N_n)"
2011-11-09,1.0,0.0,1.0,-0.0388049409052203,1.0,0,"긍정 우세
(N_p > N_n)"
2011-11-22,0.0,0.0,1.0,-0.0007371225379618,0.0,0,동률
2011-12-07,1.0,0.0,2.0,-0.0001321342594648,1.0,0,"긍정 우세
(N_p > N_n)"
2011-12-15,1.0,0.0,1.0,0.0006694539590081,1.0,1,"긍정 우세
(N_p > N_n)"
2011-12-19,0.0,0.0,1.0,-0.0125972710228084,0.0,0,동률
2011-12-21,0.0,0.0,1.0,-0.0098935027667451,0.0,0,동률
2011-12-22,1.0,0.0,1.0,0.0083321298203065,1.0,1,"긍정 우세
(N_p > N_n)"
2011-12-30,0.0,0.0,1.0,-0.0032865120183032,0.0,0,동률
2012-01-06,0.0,0.0,1.0,0.0016329931553829,0.0,1,동률
2012-01-12,0.0,0.0,1.0,0.0051424476368364,0.0,1,동률
2012-01-13,1.0,0.0,1.0,-0.0051492015812019,1.0,0,"긍정 우세
(N_p > N_n)"
2012-01-24,1.0,0.0,2.0,0.0008871479731602,1.0,1,"긍정 우세
(N_p > N_n)"
2012-01-25,1.0,0.0,1.0,0.0113650013049675,1.0,1,"긍정 우세
(N_p > N_n)"
2012-02-07,1.0,0.0,2.0,0.0007202257408394,1.0,1,"긍정 우세
(N_p > N_n)"
2012-02-08,0.0,0.0,1.0,0.0040563720627431,0.0,1,동률
2012-02-10,0.0,0.0,1.0,-0.007976857920986,0.0,0,동률
2012-02-13,2.0,0.0,3.0,0.0094735357093973,2.0,1,"긍정 우세
(N_p > N_n)"
2012-02-15,0.0,0.0,1.0,-0.0054573421970731,0.0,0,동률
2012-02-16,1.0,0.0,2.0,0.0150969083766214,1.0,1,"긍정 우세
(N_p > N_n)"
2012-02-24,1.0,0.0,1.0,0.0022895046892326,1.0,1,"긍정 우세
(N_p > N_n)"
2012-02-28,0.0,0.0,1.0,0.0069450394674104,0.0,1,동률
2012-02-29,0.0,0.0,2.0,-0.0066527331029382,0.0,0,동률
2012-03-05,1.0,0.0,1.0,-0.0086385484272392,1.0,0,"긍정 우세
(N_p > N_n)"
2012-03-08,1.0,0.0,1.0,0.0118302617653531,1.0,1,"긍정 우세
(N_p > N_n)"
2012-03-12,1.0,0.0,1.0,-0.0015661456338972,1.0,0,"긍정 우세
(N_p > N_n)"
2012-03-13,1.0,0.0,2.0,0.0188426202580771,1.0,1,"긍정 우세
(N_p > N_n)"
2012-03-15,1.0,0.0,1.0,0.005143546720429,1.0,1,"긍정 우세
(N_p > N_n)"
2012-03-16,2.0,0.0,2.0,-0.0003632110573363,2.0,0,"긍정 우세
(N_p > N_n)"
2012-03-19,1.0,0.0,1.0,0.0075476583073266,1.0,1,"긍정 우세
(N_p > N_n)"
2012-03-20,0.0,0.0,1.0,-0.0013546888962223,0.0,0,동률
2012-03-21,1.0,0.0,1.0,0.0003806470252907,1.0,1,"긍정 우세
(N_p > N_n)"
2012-04-04,1.0,0.0,1.0,-0.0146070200670687,1.0,0,"긍정 우세
(N_p > N_n)"
2012-04-19,0.0,0.0,1.0,-0.0078806818396885,0.0,0,동률
2012-04-25,1.0,0.0,1.0,0.0229706182175262,1.0,1,"긍정 우세
(N_p > N_n)"
2012-04-26,1.0,0.0,1.0,0.0069250124341586,1.0,1,"긍정 우세
(N_p > N_n)"
2012-04-30,1.0,0.0,1.0,-0.0074416278226772,1.0,0,"긍정 우세
(N_p > N_n)"
2012-05-02,1.0,0.0,1.0,0.0030848521625579,1.0,1,"긍정 우세
(N_p > N_n)"
2012-05-07,1.0,0.0,1.0,0.0004802972028881,1.0,1,"긍정 우세
(N_p > N_n)"
2012-05-14,2.0,0.0,3.0,-0.0106482297845363,2.0,0,"긍정 우세
(N_p > N_n)"
2012-05-16,0.0,0.0,1.0,-0.006814653128309,0.0,0,동률
2012-05-17,1.0,0.0,2.0,-0.0209983496527542,1.0,0,"긍정 우세
(N_p > N_n)"
2012-05-18,1.0,0.0,1.0,-0.0124036063214226,1.0,0,"긍정 우세
(N_p > N_n)"
2012-05-21,1.0,0.0,1.0,0.024622199199362,1.0,1,"긍정 우세
(N_p > N_n)"
2012-05-25,1.0,0.0,1.0,-0.0006514991272645,1.0,0,"긍정 우세
(N_p > N_n)"
2012-05-30,0.0,0.0,1.0,-0.0117136886324548,0.0,0,동률
2012-06-04,0.0,0.0,1.0,0.0045605534475039,0.0,1,동률
2012-06-05,1.0,0.0,1.0,0.0065579826131816,1.0,1,"긍정 우세
(N_p > N_n)"
2012-06-06,0.0,0.0,1.0,0.0239766822428304,0.0,1,동률
2012-06-11,1.0,0.0,1.0,-0.0170338658199357,1.0,0,"긍정 우세
(N_p > N_n)"
2012-06-12,1.0,0.0,2.0,0.0118659401872711,1.0,1,"긍정 우세
(N_p > N_n)"
