Epoch,Loss,Train_Acc,Valid_Acc
1,64980.58137124193,0.6725921137685844,0.6421188630490956
2,0.7235773242625994,0.8516483516483516,0.7506459948320413
3,0.5154649190911927,0.916289592760181,0.7713178294573644
4,0.3272651757891338,0.9686489980607628,0.7997416020671835
5,0.18390002663813762,0.9880413703943116,0.8242894056847545
6,0.11146459769824826,0.9957983193277311,0.8307493540051679
7,0.06954029491414272,0.9967679379444085,0.813953488372093
8,0.03993921769287011,0.9983839689722043,0.8359173126614987
9,0.030248164703562935,0.9987071751777634,0.834625322997416
10,0.013792808986889532,0.9990303813833226,0.8333333333333334
